,x,f(x),S(x),|S-f|
0,-1.0,0.038461538461538464,0.038461538461538464,0.0
1,-0.95,0.042440318302387266,0.04253421642828388,9.389812589661456e-05
2,-0.8999999999999999,0.04705882352941177,0.04705882352941178,6.938893903907228e-18
3,-0.8499999999999999,0.05245901639344263,0.05243128736673212,2.7729026710512916e-05
4,-0.7999999999999998,0.05882352941176473,0.05882352941176472,1.3877787807814457e-17
5,-0.7499999999999998,0.06639004149377598,0.06639405338251336,4.011888737387448e-06
6,-0.6999999999999997,0.07547169811320761,0.07547169811320759,2.7755575615628914e-17
7,-0.6499999999999997,0.08648648648648656,0.08647363117868632,1.2855307800235805e-05
8,-0.5999999999999996,0.1000000000000001,0.1000000000000001,0.0
9,-0.5499999999999996,0.11678832116788336,0.1167868744650289,1.4467028544573601e-06
10,-0.49999999999999956,0.1379310344827588,0.1379310344827588,0.0
11,-0.4499999999999995,0.16494845360824772,0.164864557363281,8.389624496671355e-05
12,-0.39999999999999947,0.20000000000000043,0.20000000000000046,2.7755575615628914e-17
13,-0.3499999999999994,0.2461538461538468,0.24626815868131857,0.00011431252747176601
14,-0.2999999999999994,0.3076923076923086,0.3076923076923086,0.0
15,-0.24999999999999933,0.3902439024390257,0.3894195718371784,0.0008243306018472785
16,-0.1999999999999993,0.5000000000000018,0.5000000000000018,0.0
17,-0.14999999999999925,0.6400000000000023,0.6431689385853605,0.003168938585358161
18,-0.0999999999999992,0.8000000000000026,0.8000000000000025,1.1102230246251565e-16
19,-0.049999999999999156,0.9411764705882373,0.9388662122829303,0.002310258305306956
20,8.881784197001252e-16,1.0,1.0,0.0
21,0.05000000000000093,0.9411764705882333,0.9388662122829262,0.002310258305307067
22,0.10000000000000098,0.7999999999999968,0.7999999999999969,1.1102230246251565e-16
23,0.15000000000000102,0.6399999999999969,0.6431689385853551,0.003168938585358161
24,0.20000000000000107,0.49999999999999734,0.4999999999999973,5.551115123125783e-17
25,0.2500000000000011,0.3902439024390223,0.389419571837175,0.0008243306018472785
26,0.30000000000000115,0.30769230769230604,0.3076923076923061,5.551115123125783e-17
27,0.3500000000000012,0.24615384615384486,0.24626815868131666,0.00011431252747179377
28,0.40000000000000124,0.199999999999999,0.199999999999999,0.0
29,0.4500000000000013,0.16494845360824664,0.16486455736327993,8.389624496671355e-05
30,0.5000000000000013,0.13793103448275798,0.13793103448275798,0.0
31,0.5500000000000014,0.11678832116788271,0.11678687446502822,1.4467028544851157e-06
32,0.6000000000000014,0.09999999999999958,0.09999999999999956,1.3877787807814457e-17
33,0.6500000000000015,0.08648648648648613,0.08647363117868591,1.2855307800221927e-05
34,0.7000000000000015,0.07547169811320724,0.07547169811320725,1.3877787807814457e-17
35,0.7500000000000016,0.06639004149377567,0.06639405338251307,4.011888737401326e-06
36,0.8000000000000016,0.05882352941176448,0.058823529411764476,6.938893903907228e-18
37,0.8500000000000016,0.05245901639344243,0.0524312873667319,2.7729026710526794e-05
38,0.9000000000000017,0.0470588235294116,0.047058823529411604,6.938893903907228e-18
39,0.9500000000000017,0.04244031830238712,0.04253421642828373,9.389812589660762e-05
40,1.0000000000000018,0.03846153846153833,0.03846153846153832,1.3877787807814457e-17
